Dataset,Type,Size,Time
60ascending_noDup,int,100,0.0000285
60ascending_noDup,string,100,0.0005705
random_20Dup,int,100,0.0000931
random_20Dup,string,100,0.0004981
random_40Dup,int,100,0.0000830
random_40Dup,string,100,0.0005388
60ascending_noDup,int,1000,0.0016188
60ascending_noDup,string,1000,0.0289539
random_20Dup,int,1000,0.0044812
random_20Dup,string,1000,0.0316118
random_40Dup,int,1000,0.0041568
random_40Dup,string,1000,0.0366112
60ascending_noDup,int,10000,0.1159771
60ascending_noDup,string,10000,2.8471905
random_20Dup,int,10000,0.4434294
random_20Dup,string,10000,3.0562634
random_40Dup,int,10000,0.4144289
random_40Dup,string,10000,3.0666371
60ascending_noDup,int,50000,2.8239175
60ascending_noDup,string,50000,68.9361040
random_20Dup,int,50000,11.0365002
random_20Dup,string,50000,58.2295893
random_40Dup,int,50000,10.2483205
random_40Dup,string,50000,70.9103440
60ascending_noDup,int,100000,11.3016837
60ascending_noDup,string,100000,283.1754213
random_20Dup,int,100000,43.9968926
random_20Dup,string,100000,305.6477154
random_40Dup,int,100000,41.1571040
random_40Dup,string,100000,309.9500319
