Dataset,Type,Size,Time
60ascending_noDup,int,100,0.0001004
60ascending_noDup,string,100,0.0001607
random_20Dup,int,100,0.0000716
random_20Dup,string,100,0.0001881
random_40Dup,int,100,0.0000570
random_40Dup,string,100,0.0001985
60ascending_noDup,int,1000,0.0006258
60ascending_noDup,string,1000,0.0014390
random_20Dup,int,1000,0.0006016
random_20Dup,string,1000,0.0015867
random_40Dup,int,1000,0.0006445
random_40Dup,string,1000,0.0019082
60ascending_noDup,int,10000,0.0062266
60ascending_noDup,string,10000,0.0157717
random_20Dup,int,10000,0.0062303
random_20Dup,string,10000,0.0178398
random_40Dup,int,10000,0.0064099
random_40Dup,string,10000,0.0175806
60ascending_noDup,int,50000,0.0288377
60ascending_noDup,string,50000,0.0880737
random_20Dup,int,50000,0.0347376
random_20Dup,string,50000,0.1010962
random_40Dup,int,50000,0.0344387
random_40Dup,string,50000,0.0993340
60ascending_noDup,int,100000,0.0604962
60ascending_noDup,string,100000,0.1937692
random_20Dup,int,100000,0.0722280
random_20Dup,string,100000,0.2160953
random_40Dup,int,100000,0.0714743
random_40Dup,string,100000,0.2047841
