Dataset,Type,Size,Time
60ascending_noDup,int,100,0.0000507
60ascending_noDup,string,100,0.0001798
random_20Dup,int,100,0.0000510
random_20Dup,string,100,0.0001915
random_40Dup,int,100,0.0000489
random_40Dup,string,100,0.0001836
60ascending_noDup,int,1000,0.0004901
60ascending_noDup,string,1000,0.0014931
random_20Dup,int,1000,0.0004907
random_20Dup,string,1000,0.0016534
random_40Dup,int,1000,0.0004842
random_40Dup,string,1000,0.0021977
60ascending_noDup,int,10000,0.0041989
60ascending_noDup,string,10000,0.0166880
random_20Dup,int,10000,0.0052613
random_20Dup,string,10000,0.0192769
random_40Dup,int,10000,0.0053011
random_40Dup,string,10000,0.0193901
60ascending_noDup,int,50000,0.0231143
60ascending_noDup,string,50000,0.0936463
random_20Dup,int,50000,0.0308218
random_20Dup,string,50000,0.1094031
random_40Dup,int,50000,0.0299279
random_40Dup,string,50000,0.1097516
60ascending_noDup,int,100000,0.0481594
60ascending_noDup,string,100000,0.1936680
random_20Dup,int,100000,0.0624035
random_20Dup,string,100000,0.2324627
random_40Dup,int,100000,0.0628179
random_40Dup,string,100000,0.2276269
