Dataset,Type,Size,Time
60ascending_noDup,int,100,0.0002244
60ascending_noDup,string,100,0.0003359
random_20Dup,int,100,0.0002805
random_20Dup,string,100,0.0004107
random_40Dup,int,100,0.0002402
random_40Dup,string,100,0.0003297
60ascending_noDup,int,1000,0.0020828
60ascending_noDup,string,1000,0.0029509
random_20Dup,int,1000,0.0022445
random_20Dup,string,1000,0.0030929
random_40Dup,int,1000,0.0020877
random_40Dup,string,1000,0.0033878
60ascending_noDup,int,10000,0.0193493
60ascending_noDup,string,10000,0.0324996
random_20Dup,int,10000,0.0220177
random_20Dup,string,10000,0.0334467
random_40Dup,int,10000,0.0212061
random_40Dup,string,10000,0.0320410
60ascending_noDup,int,50000,0.1153884
60ascending_noDup,string,50000,0.1708171
random_20Dup,int,50000,0.1143312
random_20Dup,string,50000,0.1812856
random_40Dup,int,50000,0.1094014
random_40Dup,string,50000,0.1731656
60ascending_noDup,int,100000,0.2034419
60ascending_noDup,string,100000,0.3646492
random_20Dup,int,100000,0.2320075
random_20Dup,string,100000,0.3788049
random_40Dup,int,100000,0.2245724
random_40Dup,string,100000,0.3543711
