Dataset,Type,Size,Time
60ascending_noDup,int,100,0.0000148
60ascending_noDup,string,100,0.0001349
random_20Dup,int,100,0.0000255
random_20Dup,string,100,0.0001491
random_40Dup,int,100,0.0000216
random_40Dup,string,100,0.0001252
60ascending_noDup,int,1000,0.0001791
60ascending_noDup,string,1000,0.0012666
random_20Dup,int,1000,0.0003483
random_20Dup,string,1000,0.0015512
random_40Dup,int,1000,0.0003370
random_40Dup,string,1000,0.0018142
60ascending_noDup,int,10000,0.0019619
60ascending_noDup,string,10000,0.0161079
random_20Dup,int,10000,0.0048142
random_20Dup,string,10000,0.0250570
random_40Dup,int,10000,0.0049450
random_40Dup,string,10000,0.0241150
60ascending_noDup,int,50000,0.0110174
60ascending_noDup,string,50000,0.0948530
random_20Dup,int,50000,0.0320593
random_20Dup,string,50000,0.1626327
random_40Dup,int,50000,0.0324646
random_40Dup,string,50000,0.1647084
60ascending_noDup,int,100000,0.0239377
60ascending_noDup,string,100000,0.1994970
random_20Dup,int,100000,0.0710133
random_20Dup,string,100000,0.3671967
random_40Dup,int,100000,0.0722349
random_40Dup,string,100000,0.3736601
