Dataset,Type,Size,Time
60ascending_noDup,int,100,0.0000157
60ascending_noDup,string,100,0.0001816
random_20Dup,int,100,0.0000264
random_20Dup,string,100,0.0001888
random_40Dup,int,100,0.0000213
random_40Dup,string,100,0.0001527
60ascending_noDup,int,1000,0.0001208
60ascending_noDup,string,1000,0.0009179
random_20Dup,int,1000,0.0001767
random_20Dup,string,1000,0.0011149
random_40Dup,int,1000,0.0001698
random_40Dup,string,1000,0.0014497
60ascending_noDup,int,10000,0.0012070
60ascending_noDup,string,10000,0.0080394
random_20Dup,int,10000,0.0015759
random_20Dup,string,10000,0.0101613
random_40Dup,int,10000,0.0015435
random_40Dup,string,10000,0.0103940
60ascending_noDup,int,50000,0.0059113
60ascending_noDup,string,50000,0.0407337
random_20Dup,int,50000,0.0077200
random_20Dup,string,50000,0.0512709
random_40Dup,int,50000,0.0077310
random_40Dup,string,50000,0.0506861
60ascending_noDup,int,100000,0.0115868
60ascending_noDup,string,100000,0.0795152
random_20Dup,int,100000,0.0153707
random_20Dup,string,100000,0.0999007
random_40Dup,int,100000,0.0152677
random_40Dup,string,100000,0.1005188
