Type,Size,60ascending_noDup,random_20Dup,random_40Dup,Sort,,Size,InsertionSort,IntroSort,MergeSort,QuickSort,ShellSort,TimSort
int,100,0.0000285,0.0000931,0.000083,InsertionSort,,100,0.0000285,0.0001004,0.0000507,0.0002244,0.0000148,0.0000157
int,1000,0.0016188,0.0044812,0.0041568,InsertionSort,,1000,0.0016188,0.0006258,0.0004901,0.0020828,0.0001791,0.0001208
int,10000,0.1159771,0.4434294,0.4144289,InsertionSort,,10000,0.1159771,0.0062266,0.0041989,0.0193493,0.0019619,0.001207
int,50000,2.8239175,11.0365002,10.2483205,InsertionSort,,50000,2.8239175,0.0288377,0.0231143,0.1153884,0.0110174,0.0059113
int,100000,11.3016837,43.9968926,41.157104,InsertionSort,,100000,11.3016837,0.0604962,0.0481594,0.2034419,0.0239377,0.0115868
int,100,0.0001004,0.0000716,0.000057,IntroSort,,,,,,,,
int,1000,0.0006258,0.0006016,0.0006445,IntroSort,,Size,InsertionSort,IntroSort,MergeSort,QuickSort,ShellSort,TimSort
int,10000,0.0062266,0.0062303,0.0064099,IntroSort,,100,0.0000931,0.0000716,0.000051,0.0002805,0.0000255,0.0000264
int,50000,0.0288377,0.0347376,0.0344387,IntroSort,,1000,0.0044812,0.0006016,0.0004907,0.0022445,0.0003483,0.0001767
int,100000,0.0604962,0.072228,0.0714743,IntroSort,,10000,0.4434294,0.0062303,0.0052613,0.0220177,0.0048142,0.0015759
int,100,0.0000507,0.000051,0.0000489,MergeSort,,50000,11.0365002,0.0347376,0.0308218,0.1143312,0.0320593,0.00772
int,1000,0.0004901,0.0004907,0.0004842,MergeSort,,100000,43.9968926,0.072228,0.0624035,0.2320075,0.0710133,0.0153707
int,10000,0.0041989,0.0052613,0.0053011,MergeSort,,,,,,,,
int,50000,0.0231143,0.0308218,0.0299279,MergeSort,,Size,InsertionSort,IntroSort,MergeSort,QuickSort,ShellSort,TimSort
int,100000,0.0481594,0.0624035,0.0628179,MergeSort,,100,0.000083,0.000057,0.0000489,0.0002402,0.0000216,0.0000213
