Type,Size,"60% Ascending, no Dup","20% Dup, random","40% Dup, random","No Dup, Random","100% Ascending, No Dup"
int,100,0.0000285,0.0000931,0.000083,0.0000117,0.0000007
int,1000,0.0016188,0.0044812,0.0041568,0.0011337,0.0000053
int,10000,0.1159771,0.4434294,0.4144289,0.0913863,0.0000624
int,50000,2.8239175,11.0365002,10.2483205,2.558707,0.0002332
int,100000,11.3016837,43.9968926,41.157104,8.9140136,0.0006982
string,100,0.0005705,0.0004981,0.0005388,0.0002607,0.000049
string,1000,0.0289539,0.0316118,0.0366112,0.0293501,0.0044451
string,10000,2.8471905,3.0562634,3.0666371,2.4728809,0.4488959
string,50000,68.936104,58.2295893,70.910344,56.7558917,28.5344359
string,100000,283.1754213,305.6477154,309.9500319,227.6215722,41.3388013
