Type,Size,"60% Ascending, no Dup","20% Dup, random","40% Dup, random","No Dup, Random","100% Ascending, No Dup"
int,100,0.0001004,0.0000716,0.000057,0.0000102,0.0000053
int,1000,0.0006258,0.0006016,0.0006445,0.0001224,0.0000614
int,10000,0.0062266,0.0062303,0.0064099,0.001257,0.0006687
int,50000,0.0288377,0.0347376,0.0344387,0.007365,0.0037578
int,100000,0.0604962,0.072228,0.0714743,0.0157697,0.0076128
string,100,0.0001607,0.0001881,0.0001985,0.0000827,0.0000804
string,1000,0.001439,0.0015867,0.0019082,0.0012007,0.0009927
string,10000,0.0157717,0.0178398,0.0175806,0.0151625,0.0139062
string,50000,0.0880737,0.1010962,0.099334,0.0924419,0.0880168
string,100000,0.1937692,0.2160953,0.2047841,0.2051576,0.1783514
