Type,Size,"60% Ascending, no Dup","20% Dup, random","40% Dup, random","No Dup, Random","100% Ascending, No Dup"
int,100,0.0002244,0.0002805,0.0002402,0.0000198,0.0000143
int,1000,0.0020828,0.0022445,0.0020877,0.0003595,0.000175
int,10000,0.0193493,0.0220177,0.0212061,0.0024436,0.0015355
int,50000,0.1153884,0.1143312,0.1094014,0.0119062,0.0097212
int,100000,0.2034419,0.2320075,0.2245724,0.0228941,0.0176926
string,100,0.0003359,0.0004107,0.0003297,0.0000857,0.000078
string,1000,0.0029509,0.0030929,0.0033878,0.0013107,0.0012327
string,10000,0.0324996,0.0334467,0.032041,0.0167949,0.0160044
string,50000,0.1708171,0.1812856,0.1731656,0.0945157,0.092313
string,100000,0.3646492,0.3788049,0.3543711,0.2172808,0.1998525
