Type,Size,"60% Ascending, no Dup","20% Dup, random","40% Dup, random","No Dup, Random","100% Ascending, No Dup"
int,100,0.0000148,0.0000255,0.0000216,0.0000089,0.0000027
int,1000,0.0001791,0.0003483,0.000337,0.0001477,0.0000341
int,10000,0.0019619,0.0048142,0.004945,0.0019547,0.0004958
int,50000,0.0110174,0.0320593,0.0324646,0.0135216,0.0027509
int,100000,0.0239377,0.0710133,0.0722349,0.0263808,0.0065483
string,100,0.0001349,0.0001491,0.0001252,0.0000944,0.0000654
string,1000,0.0012666,0.0015512,0.0018142,0.0016578,0.0012045
string,10000,0.0161079,0.025057,0.024115,0.027604,0.0157
string,50000,0.094853,0.1626327,0.1647084,0.1908313,0.0976757
string,100000,0.199497,0.3671967,0.3736601,0.4217777,0.2098888
