Type,Size,"60% Ascending, no Dup","20% Dup, random","40% Dup, random","No Dup, Random","100% Ascending, No Dup"
int,100,0.0000157,0.0000264,0.0000213,0.0000053,0.0000027
int,1000,0.0001208,0.0001767,0.0001698,0.0000569,0.0000067
int,10000,0.001207,0.0015759,0.0015435,0.0004793,0.0000774
int,50000,0.0059113,0.00772,0.007731,0.0025753,0.0003113
int,100000,0.0115868,0.0153707,0.0152677,0.0046755,0.000599
string,100,0.0001816,0.0001888,0.0001527,0.0000871,0.0000399
string,1000,0.0009179,0.0011149,0.0014497,0.0009042,0.0001709
string,10000,0.0080394,0.0101613,0.010394,0.0081457,0.0012126
string,50000,0.0407337,0.0512709,0.0506861,0.045648,0.0060526
string,100000,0.0795152,0.0999007,0.1005188,0.0828631,0.011854
